aliquot	feature_1	feature_2	disease	center
TCGA-13-0726-01A-01R-1564-13	53.5328316983972	-6.6307914162617	OV	BCCAGSC
TCGA-13-0727-01A-01R-1564-13	52.4456653524223	-6.50653028665197	OV	BCCAGSC
TCGA-13-0730-01A-01R-1564-13	50.5896077833438	-4.41809652727828	OV	BCCAGSC
TCGA-13-0762-01A-01R-1564-13	54.3387824266933	-6.29675538322101	OV	BCCAGSC
TCGA-13-0765-01A-01R-1564-13	53.5169838255253	-6.70205937264197	OV	BCCAGSC
TCGA-13-0766-01A-02R-1564-13	50.3676099560775	-6.47377419594316	OV	BCCAGSC
TCGA-13-0768-01A-01R-1569-13	52.9864067814095	-5.37577415987563	OV	BCCAGSC
TCGA-13-0795-01A-01R-1564-13	51.7530723912354	-6.70791998855582	OV	BCCAGSC
TCGA-13-0797-01A-01R-1564-13	54.1990256146429	-5.72362916441376	OV	BCCAGSC
TCGA-13-0800-01A-01R-1564-13	51.6007603831766	5.05869047078131	OV	BCCAGSC
TCGA-13-0804-01A-01R-1564-13	47.0331079862009	-0.276062583440124	OV	BCCAGSC
TCGA-13-0883-01A-02R-1569-13	49.8091642034295	2.60365719713153	OV	BCCAGSC
TCGA-13-0884-01B-01R-1565-13	51.3029850977394	-4.88018123148531	OV	BCCAGSC
TCGA-13-0885-01A-02R-1569-13	51.7874976450183	-6.6225535288905	OV	BCCAGSC
TCGA-13-0886-01A-01R-1569-13	52.1162047814666	-6.53704870844457	OV	BCCAGSC
TCGA-13-0887-01A-01R-1564-13	53.8327095049263	-4.27671154477246	OV	BCCAGSC
TCGA-13-0888-01A-01R-1564-13	48.9924167200109	-2.82488188546231	OV	BCCAGSC
TCGA-13-0891-01A-01R-1564-13	47.5417033651723	-0.264797160313725	OV	BCCAGSC
TCGA-13-0893-01B-01R-1565-13	53.5733270304697	-0.424258507746832	OV	BCCAGSC
TCGA-13-0897-01A-01R-1564-13	49.9687043664389	-1.30260054430812	OV	BCCAGSC
TCGA-13-0900-01B-01R-1565-13	55.1265823716539	-3.5300283572873	OV	BCCAGSC
TCGA-13-0901-01B-01R-1565-13	48.3838577764479	-1.0721155915945	OV	BCCAGSC
TCGA-13-0905-01B-01R-1565-13	55.164491295879	-3.63916358723202	OV	BCCAGSC
TCGA-13-0906-01A-01R-1564-13	48.9707513285093	0.771854445706945	OV	BCCAGSC
TCGA-13-0908-01B-01R-1565-13	57.6959611917471	-0.957708857911089	OV	BCCAGSC
TCGA-13-0911-01A-01R-1564-13	49.1376389724941	-0.873722801135941	OV	BCCAGSC
TCGA-13-0916-01A-01R-1564-13	58.0906538739852	-3.65085106461103	OV	BCCAGSC
TCGA-13-0920-01A-01R-1564-13	48.3106933446845	-0.0724739589897801	OV	BCCAGSC
TCGA-13-0923-01A-01R-1564-13	49.0824490839478	-0.795663926485724	OV	BCCAGSC
TCGA-13-0924-01A-01R-1564-13	48.5675955119346	-0.375956147566265	OV	BCCAGSC
TCGA-13-1403-01A-01R-1565-13	52.2181060865879	2.43073513085828	OV	BCCAGSC
TCGA-13-1404-01A-01R-1565-13	50.8085632665537	1.63211621270668	OV	BCCAGSC
TCGA-13-1405-01A-01R-1565-13	57.069675773707	-1.32876285659211	OV	BCCAGSC
TCGA-13-1407-01A-01R-1565-13	55.3210637720371	4.3213277735878	OV	BCCAGSC
TCGA-13-1408-01A-01R-1565-13	58.2153384019158	-0.715029380900264	OV	BCCAGSC
TCGA-13-1409-01A-01R-1565-13	52.8035581511368	3.61761606566844	OV	BCCAGSC
TCGA-13-1410-01A-01R-1565-13	55.2728954306572	-0.851094115850829	OV	BCCAGSC
TCGA-13-1411-01A-01R-1565-13	56.5330621187184	-2.37442165972415	OV	BCCAGSC
TCGA-13-1477-01A-01R-1565-13	52.3420722489619	-6.93038652881297	OV	BCCAGSC
