feature_1	feature_2	project
TCGA-K4-A54R	3.70800575044723	-9.6575351864091	BLCA
TCGA-K4-A5RH	3.13845241420043	-2.40556660744842	BLCA
TCGA-K4-A5RI	5.70822994364776	-10.494464286184	BLCA
TCGA-K4-A5RJ	-0.334358131284408	-4.7687863163203	BLCA
TCGA-K4-A6FZ	6.70215900834881	-10.4478423141856	BLCA
TCGA-K4-A6MB	2.20233228397013	-15.3529160243775	BLCA
TCGA-K4-A83P	1.73896951385475	-6.77978931475881	BLCA
TCGA-K4-AAQO	1.74399541461015	-9.40676625194418	BLCA
TCGA-KQ-A41N	2.31202503368387	-14.2990179483098	BLCA
TCGA-KQ-A41O	0.243760430411141	-18.0236878970492	BLCA
TCGA-KQ-A41P	1.91418126971079	-14.5825581236323	BLCA
TCGA-KQ-A41Q	1.16552011261387	-13.7941802338861	BLCA
TCGA-KQ-A41R	1.84819263012684	-17.4822324729363	BLCA
TCGA-KQ-A41S	0.132851494833929	-9.66691882300073	BLCA
TCGA-LC-A66R	9.1410599120771	-11.7676771987475	BLCA
TCGA-LT-A5Z6	-1.28836565265987	-12.5263965838467	BLCA
TCGA-LT-A8JT	0.498416821974528	-16.8270411625241	BLCA
TCGA-MV-A51V	3.05283016973015	-13.4895101936095	BLCA
TCGA-PQ-A6FI	13.7692195838461	-10.0679596045105	BLCA
TCGA-PQ-A6FN	8.17234206278552	-10.5093936100159	BLCA
TCGA-R3-A69X	5.572348023378	-9.59765759414114	BLCA
TCGA-S5-A6DX	4.06757781952088	-10.4584464333458	BLCA
TCGA-S5-AA26	0.94285788692253	-17.3812644229752	BLCA
TCGA-SY-A9G0	2.32799677758507	-8.60646616779728	BLCA
TCGA-SY-A9G5	2.62815226971906	-9.61551047008511	BLCA
TCGA-UY-A78K	5.64812024700711	-13.4302810151162	BLCA
TCGA-UY-A78L	6.82070091075389	-12.7485800407494	BLCA
TCGA-UY-A78M	2.51258140170194	-14.7795917416714	BLCA
TCGA-UY-A78N	-1.22158437997977	-12.9517466629857	BLCA
TCGA-UY-A78O	0.12514396264854	-14.7878499329637	BLCA
TCGA-UY-A78P	10.16119239546	-10.912533817912	BLCA
TCGA-UY-A8OB	5.91207141608708	-11.4378574925105	BLCA
TCGA-UY-A8OC	6.00986846534194	-11.2500451372995	BLCA
TCGA-UY-A8OD	1.66410409290143	-10.2171620675107	BLCA
TCGA-UY-A9PA	4.13208635760889	-11.1458367991976	BLCA
TCGA-UY-A9PB	6.17154518806849	-8.95998197550199	BLCA
TCGA-UY-A9PD	3.75159591415087	-14.8011142306947	BLCA
TCGA-UY-A9PE	2.80249561519149	-11.6779013098438	BLCA
TCGA-UY-A9PF	4.30314627366466	-13.0600005087537	BLCA
TCGA-UY-A9PH	4.36826439160019	-13.1313093687586	BLCA
TCGA-XF-A8HB	20.3417177488418	-17.5819789385424	BLCA
TCGA-XF-A8HC	-1.01453542288729	-12.7781351090483	BLCA
