feature_1	feature_2	feature_3	project
TCGA-FD-A62P	-17.9899742570398	0.812121429495907	-2.70652096691836	BLCA
TCGA-FD-A62S	-15.2623920123679	-3.3411661078104	-3.59124239803322	BLCA
TCGA-FD-A6TA	-19.4093575288244	0.699778515120946	-6.72808372204847	BLCA
TCGA-FD-A6TB	-12.9512047518109	1.44317578222497	-5.2294367015644	BLCA
TCGA-FD-A6TC	-18.6392052752318	1.515343836086	-6.35859297200766	BLCA
TCGA-FD-A6TD	-16.5709646601854	-3.60183130433659	-2.83085178600336	BLCA
TCGA-FD-A6TE	-20.4415091470096	3.61048125671212	-7.35123128476796	BLCA
TCGA-FD-A6TF	-16.330037477246	-0.76718014732365	-2.86797603995357	BLCA
TCGA-FD-A6TG	-17.6932399983793	1.79663507961156	-5.81068959647223	BLCA
TCGA-FD-A6TH	-20.5706844836484	-4.50314525822268	-4.13558673784067	BLCA
TCGA-FD-A6TI	-18.3772812494982	1.95903442343389	-7.1144626607698	BLCA
TCGA-FD-A6TK	-15.337686177088	-3.30043824260052	-3.24231189361793	BLCA
TCGA-FJ-A3Z7	-19.8973020240822	-2.75561642368237	-6.91597258673617	BLCA
TCGA-FJ-A3Z9	-24.6692311808173	1.07113239824584	-6.7369118656284	BLCA
TCGA-FJ-A3ZE	-23.0904154795885	2.92476944385501	-8.3262953645428	BLCA
TCGA-FJ-A3ZF	-22.7081821217457	-1.70837272108602	-7.03114132426286	BLCA
TCGA-FJ-A871	-1.83101386144189	12.7272185584077	-5.13478088883649	BLCA
TCGA-FT-A3EE	-20.7173122067073	2.9689230973266	-9.42581893332641	BLCA
TCGA-FT-A61P	-16.9748793016497	-1.029977573907	-2.1133099961918	BLCA
TCGA-G2-A2EC	-16.8096341460804	2.5405072325381	-6.53081442956486	BLCA
TCGA-G2-A2EF	-17.3004146234013	-5.73831435066376	-4.39671370783613	BLCA
TCGA-G2-A2EJ	-14.5607474829165	-19.4504761009539	-3.2374587404351	BLCA
TCGA-G2-A2EK	-18.2305448137817	1.26773825309458	-7.38065570569483	BLCA
TCGA-G2-A2EL	-24.5474911669036	10.8384487390602	1.53639902285052	BLCA
TCGA-G2-A2EO	-17.390048803616	-1.53480138801551	-3.42841543227817	BLCA
TCGA-G2-A2ES	-17.8209334142272	-17.9492887228388	-0.0425308468384873	BLCA
